HealthKey,Capital health expenditure (% of GDP),Current health expenditure per capita (current US$),Domestic general government health expenditure (% of current health expenditure),Domestic private health expenditure (% of current health expenditure),External health expenditure (% of current health expenditure),Out-of-pocket expenditure (% of current health expenditure),UHC service coverage index,"Immunization, BCG (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Hospital beds (per 1,000 people)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)",Number of infant deaths,"Stillbirth rate (per 1,000 total births)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Prevalence of undernourishment (% of population),Prevalence of overweight (% of adults)
4088,0.1054229,580.2183838,53.08211899,46.91788101,,40.64141083,,99,99,99,99,99,99,1.03,2.5488,4.2236,35073,7.011055327,77.922,71.997,4.8,62.8
4089,0.08809453,623.0515747,53.75115967,46.24883652,,39.87906647,,91,83,82,83,89,83,1.03,2.8044,4.311,33910,6.877614614,77.89,71.958,4.3,63.3
4090,0.0933276,606.9298096,52.08169937,47.91830063,,40.87202454,,96,87,84,87,97,87,1.03,2.6798,4.4526,32728,6.766902575,77.86,71.943,4.4,63.9
4091,0.07663224,550.3400269,52.20096588,47.79903412,,41.04377365,73,98,87,82,87,97,87,1,2.4177,4.6493,31538,6.732511137,77.837,71.954,5,64.4
4092,0.08285465,485.624176,51.27971649,48.72028351,,41.3722229,,99,93,93,93,96,96,1,2.5103,4.6488,30368,6.744038996,77.826,71.99,5.8,64.9
4093,0.07024645,506.892334,50.53536987,49.46463394,,41.78836441,73,94,85,58,85,76,85,0.99,2.5078,4.7654,29178,6.793529954,77.827,72.046,6.1,
4094,0.08476871,521.0083008,49.67456055,50.32543945,,42.25703049,,96,88,55,88,97,88,0.98,3.149,4.8496,28010,6.841535175,77.844,72.118,6.2,
4095,0.06373785,540.3723145,49.307724,50.69227982,,42.12209702,74,76,82,56,82,73,82,,2.3646,,26892,6.813899243,77.879,72.203,7.2,
4096,,,,,,,,,,,,,,,,,25833,,,,,
4097,0.1457645,91.44425964,63.71009445,36.23267746,0.05723163,27.58306313,63,99,98,96,,96,98,2.1,,,12466,8.849446302,75.619,68.71,11.9,22.3
4098,0.16260447,104.4460144,71.95246124,27.99164581,0.05589529,17.65686035,,99,98,96,,96,98,,1.5448,0.2875,11740,8.547522952,75.981,69.138,10.6,23.1
4099,0.1549878,126.849556,75.60998535,24.3366127,0.05339865,14.81379414,,99,98,96,,96,98,,1.5283,0.2959,11069,8.264752053,76.383,69.563,10.2,24
4100,0.21097681,151.5072632,75.36881256,24.50151062,0.12967366,14.70176125,,99,99,98,,98,99,,1.5842,0.3164,10438,8.00855224,76.815,69.978,10.6,24.9
4101,0.23032501,152.4855652,73.1287384,26.79975319,0.07150743,15.90248966,,99,99,98,,98,99,,1.642,0.3387,9838,7.747792786,77.265,70.374,10.4,25.8
4102,0.17112526,172.0929718,73.77249908,26.0971508,0.13035177,14.49738026,70,99,99,98,,98,99,2.1,2.0643,0.3906,9277,7.493073763,77.725,70.749,10,26.7
4103,0.27220535,195.9727325,76.42584229,23.38223457,0.19192585,13.00871372,,99,99,98,,98,99,,,,8738,7.210254276,78.186,71.104,9.2,27.6
4104,0.31526989,206.4648285,76.07963562,23.789114,0.13124737,13.42186737,,99,99,98,,98,99,,,,8236,6.958419803,78.64,71.446,8.8,28.6
4105,0.23578981,212.9985504,75.95276642,23.73593712,0.31129634,12.5402317,,99,99,99,,99,99,,,,7774,6.7197382,79.078,71.779,8.2,29.6
4106,0.23681293,219.2957306,75.68395233,23.97712708,0.33892402,12.85608101,,99,99,99,,99,99,,,,7343,6.511071935,79.49,72.102,7.7,30.6
4107,0.22154549,214.2065735,74.93961334,24.76755905,0.29282546,12.50940418,75,99,99,99,,99,99,,2.3683,0.4651,6932,6.338012891,79.863,72.412,7.3,31.6
4108,0.3167206,224.9945221,75.95375061,23.95379448,0.09245473,11.34563923,,99,99,99,,99,99,,2.7724,0.445,6543,6.178067676,80.189,72.704,7.5,32.6
4109,0.2281076,253.4068298,71.96782684,27.94643593,0.08573715,11.86769009,80,99,99,99,,99,99,,2.9573,0.8075,6178,6.041739401,80.468,72.977,7.7,
4110,0.23268826,278.6308289,70.46959686,29.38002396,0.15037596,10.24854565,,99,97,97,,96,97,,2.7593,0.805,5834,5.888225335,80.704,73.228,7.9,
4111,0.19367595,296.1651001,71.65899658,28.22714996,0.11384916,8.66959858,83,99,97,97,,96,97,,3.1522,0.9188,5503,5.759119213,80.9,73.46,8.2,
4112,,,,,,,,,,,,,,,,,5191,,,,,
4113,0.65363973,6454.403809,45.39122772,54.60877228,0,13.91825485,79,,96,93,94,92,92,3.2,9.9177,,27762,2.985313589,80.1,75,2.5,61.9
4114,0.66477114,6828.615723,46.26139069,53.7386055,0,13.67735291,,,96,93,93,92,93,3.18,,,27585,2.962895127,80.3,75.2,2.5,62.5
4115,0.717116,7181.89209,46.34472275,53.65527725,0,13.59207916,,,96,93,93,92,93,3.14,,,27261,2.990365551,80.6,75.5,2.5,63.1
4116,0.76118088,7401.369141,47.49931717,52.50068283,0,13.34937668,,,96,94,91,92,94,3.13,,,26788,3.08444569,80.6,75.6,2.5,63.7
4117,0.70491374,7657.559082,48.51221466,51.48778534,0,12.6413002,,,95,92,84,90,93,3.08,,,26200,2.969908681,80.9,76,2.5,64.2
4118,0.68704522,7888.352051,48.86313248,51.13686752,0,12.36455631,80,,95,92,90,92,93,3.05,12.5927,,25530,2.972871293,81,76.2,2.5,64.8
4119,0.7024169,8080.214844,48.94212341,51.05787659,0,12.32208443,,,96,91,94,92,94,2.97,,,24844,2.965430265,81.1,76.3,2.5,65.3
4120,0.70865661,8342.580078,48.84257889,51.15742111,0,12.33093548,,,94,90,93,91,93,2.93,,,24184,2.972029934,81.2,76.4,2.5,65.8
4121,0.69361621,8522.125977,49.46422958,50.53577423,0,12.25372887,,,94,91,93,92,93,2.89,,,23594,2.979816812,81.2,76.4,2.5,66.4
4122,0.64768839,8939.396484,50.69041824,49.30958557,0,11.93220139,,,95,92,93,92,93,2.83,,,23089,3.001325827,81.3,76.5,2.5,66.9
4123,0.64494258,9392.066406,51.15266418,48.847332,0,11.73992538,81,,95,92,93,92,93,2.8,,,22671,3.019307588,81.2,76.3,2.5,67.4
4124,0.63860589,9775,50.80243301,49.19756317,0,11.63196754,,,95,93,93,92,94,2.77,,,22334,3.033590135,81.1,76.1,2.5,67.9
4125,0.67145181,10103.0918,50.6502037,49.3497963,0,11.40190506,82,,95,93,93,92,94,2.87,14.5812,,22068,3.032661543,81.1,76.1,2.5,
4126,0.66255105,10515.32324,50.77178955,49.22821045,0,11.30358505,,,94,91,92,92,93,,15.685,2.6036,21847,3.020889353,81.2,76.2,2.5,
4127,0.67703497,10921.0127,50.84327316,49.15672684,0,11.3115778,83,,94,91,91,90,93,,,,21652,3.002832799,81.4,76.3,2.5,
4128,,,,,,,,,,,,,,,,,21451,,,,,
4129,0.37509301,35.03743744,36.72709656,59.2638092,4.00909662,37.26836014,44,95,95,94,,95,94,2.34,0.831,0.6139,27779,11.04202458,78.425,69.722,15.5,12.2
4130,0.36237505,42.29331589,36.02748108,59.96383286,4.00868273,37.33816147,,95,94,93,,93,94,2.66,0.8797,0.6239,27573,10.70142715,78.532,70.005,15.3,12.7
4131,0.30447453,49.50850296,35.31490707,61.08750153,3.59759212,37.30263519,,94,92,67,,83,92,,0.95,0.6415,27499,10.42018809,78.631,70.255,14.1,13.1
4132,0.41245195,59.16986084,37.67632294,60.11936188,2.20431662,37.18603134,,92,93,87,,92,93,2.9,1.0207,0.6648,27505,10.12715161,78.721,70.46,12.9,13.6
4133,0.68118465,64.43672943,36.24856949,61.29605865,2.45537496,37.26034927,,97,96,94,,97,97,3.1,1.1081,0.6982,27543,9.866761996,78.805,70.616,11.8,14.2
4134,0.42887175,78.63555908,39.61755371,58.13803101,2.24441743,37.42028046,59,94,93,88,63,98,94,2.91,1.2327,0.71,27608,9.618465304,78.883,70.725,11,14.7
4135,0.37555271,89.58512878,38.69340134,58.94776535,2.35883379,37.40775299,,98,95,95,95,96,96,,,,27660,9.4024657,78.957,70.796,10,15.3
4136,0.34329298,108.9399719,41.91252899,55.66624451,2.42122793,40.77892303,,98,97,97,97,96,97,2.5,1.4524,0.8209,27694,9.15135083,79.027,70.845,9.3,15.9
4137,0.33090794,119.5219269,47.11077499,50.6530838,2.23614025,41.26946259,,95,59,59,59,98,93,3.18,0.2867,,27722,8.928783721,79.094,70.887,8.7,16.4
4138,0.38257921,117.4146042,41.95794296,54.85071564,3.19134188,41.72227097,,96,95,95,95,97,96,2.6,1.4299,0.783,27721,8.669566016,79.159,70.931,8.5,17.1
4139,0.38223347,117.8628922,41.80939484,56.0296402,2.16096139,43.47938538,66,97,97,97,97,97,97,,1.4228,0.7963,27689,8.447159985,79.226,70.984,8.1,17.7
4140,0.22285002,124.0594101,47.43162537,50.27044296,2.29792619,44.57281876,,95,96,96,96,99,95,,1.4463,0.8281,27593,8.283500882,79.294,71.049,7.8,18.3
4141,0.31951338,140.165329,46.10822678,52.80683136,1.08494616,45.09383011,68,97,94,94,94,97,94,,,,27409,8.115557223,79.366,71.124,7.2,
4142,,163.1509552,41.62815475,57.35515976,1.01668346,44.58095169,,95,75,75,75,97,90,,,,27128,7.98299994,79.442,71.207,6.8,
4143,,180.7181854,43.7980957,55.23139954,0.97050571,42.95318604,70,96,89,89,89,95,89,,,,26757,7.812429647,79.523,71.301,6.7,
4144,,,,,,,,,,,,,,,,,26244,,,,,
